,Games,Wins,WinRate
Trundle,9671,4888,0.5054286009719781
Briar,12567,6585,0.5239914060634996
Swain,13390,7026,0.5247199402539209
Kaisa,21150,10255,0.48486997635933804
Janna,6775,3378,0.49859778597785975
Nasus,10369,5243,0.5056418169543833
LeeSin,10378,4870,0.4692619001734438
Xerath,11855,6129,0.5169970476592155
Xayah,9310,4608,0.4949516648764769
Rell,5567,2767,0.49703610562241785
Yorick,9521,5002,0.5253649826698876
MasterYi,15237,7689,0.5046268950580823
Ahri,18230,9183,0.503730115194734
Yunara,12863,6229,0.48425717173287725
Nami,15988,8329,0.5209532149111834
Aatrox,12146,5986,0.492837148032274
Nocturne,9192,4671,0.5081592689295039
Malzahar,14940,7834,0.5243641231593039
Aphelios,9271,4656,0.5022111962032143
Soraka,11006,5633,0.5118117390514265
Irelia,9685,4661,0.48125967991739804
Rammus,5361,2706,0.5047565752658086
Vladimir,9086,4322,0.475676865507374
Lulu,10267,4887,0.47599103925197234
Diana,15359,7815,0.5088221889445927
Kayle,11837,6062,0.5121230041395624
Twitch,12785,6301,0.49284317559640206
Katarina,10246,5017,0.48965449931680655
Corki,5185,2484,0.4790742526518804
MonkeyKing,8036,4157,0.517297162767546
Sett,15985,8460,0.529246168282765
Hwei,10302,5184,0.5032032615026208
Sivir,11134,5724,0.5141009520388
Graves,8756,4229,0.48298309730470534
Bard,8626,4216,0.48875492696498957
Heimerdinger,8113,4247,0.5234808332306176
Ornn,8437,4056,0.48073959938366717
Samira,9565,4808,0.5026659696811291
TahmKench,9844,4774,0.48496546119463635
Leona,13095,6580,0.5024818633066056
Renata,4362,2166,0.4965612104539202
Taliyah,5029,2430,0.4831974547623782
Neeko,9992,4923,0.4926941553242594
FiddleSticks,8255,4222,0.5114476075105996
Zed,13056,6321,0.4841452205882353
Rengar,7443,3377,0.4537148999059519
Smolder,18870,9499,0.5033916269210387
Galio,11390,5928,0.5204565408252854
Gangplank,6411,3027,0.47215722976134766
Teemo,19157,9926,0.5181395834420839
Shen,10360,5273,0.508976833976834
Zaahen,17963,9440,0.5255246896398151
Caitlyn,28373,14034,0.4946251718182779
Senna,14057,6938,0.49356192644234187
Udyr,6925,3564,0.5146570397111914
Milio,11416,5981,0.5239138051857043
Jayce,6560,3147,0.47972560975609757
Anivia,7153,3539,0.49475744442891095
Riven,8730,4156,0.4760595647193585
Warwick,16063,8274,0.5150968063250949
Yone,16524,8200,0.4962478818687969
Jhin,26365,13218,0.5013464820785132
Blitzcrank,12376,6154,0.49725274725274726
Vex,8014,4073,0.5082355877214874
Nilah,4776,2442,0.5113065326633166
Gwen,10504,5144,0.4897182025894897
Qiyana,6250,2785,0.4456
Sylas,16583,8307,0.5009346921546162
Draven,8530,4115,0.4824150058616647
Shyvana,4719,2314,0.4903581267217631
Akshan,7036,3351,0.47626492325184766
Mel,21835,10908,0.4995649187084955
Sion,12151,6113,0.5030861657476751
Ashe,25243,12679,0.5022778592084934
Kalista,3810,1832,0.48083989501312335
Morgana,21409,11075,0.5173058059694521
Jax,15924,8177,0.513501632755589
Zilean,6239,3095,0.49607308863599936
Hecarim,6426,3105,0.4831932773109244
Nautilus,15693,7642,0.4869687121646594
Maokai,7013,3509,0.5003564808213318
Tristana,14520,7330,0.5048209366391184
DrMundo,17323,8954,0.5168850660970964
Ivern,4518,2206,0.48826914563966356
Cassiopeia,4589,2207,0.4809326650686424
Ziggs,9471,4790,0.5057544081934325
Khazix,8401,4028,0.47946673015117247
Jinx,25506,12971,0.5085470085470085
Karthus,6036,3053,0.5057985420808483
Akali,12958,6249,0.4822503472758142
Malphite,17548,9011,0.5135058126282197
Pantheon,16720,8361,0.5000598086124401
TwistedFate,8773,4187,0.47725977430753447
Yasuo,19840,10244,0.5163306451612903
Sejuani,4992,2427,0.48617788461538464
Yuumi,9364,4419,0.4719137120888509
Fiora,6281,3063,0.48766120044578887
Amumu,13269,7015,0.5286758610294672
Vi,8500,4293,0.5050588235294118
Elise,4693,2243,0.4779458768378436
Shaco,12892,6396,0.49612162581445857
Lux,29881,15243,0.5101234898430441
Mordekaiser,16593,8566,0.5162417887060808
Viego,14546,7317,0.5030248865667537
Thresh,16355,8107,0.4956893916233568
Garen,16898,8684,0.5139069712391999
XinZhao,9393,4823,0.5134674757798361
Ezreal,16619,7705,0.4636259702749865
Brand,15021,7904,0.5261966580121163
Volibear,15450,7837,0.5072491909385113
Lucian,13116,6404,0.488258615431534
MissFortune,29516,15074,0.5107060577313999
Urgot,8217,4295,0.5226968479980528
Olaf,4820,2600,0.5394190871369294
Vayne,16869,8501,0.5039421423913688
Ambessa,9004,4411,0.48989338071968014
Veigar,16189,8255,0.5099141392303416
Fizz,10425,5213,0.5000479616306954
