ChampionA,ChampionB,Games,Wins,WinRate
Nasus,Trundle,370,184,0.4972972972972973
LeeSin,Trundle,272,125,0.45955882352941174
Trundle,Xerath,327,158,0.4831804281345566
Trundle,Xayah,231,125,0.5411255411255411
Rell,Trundle,175,83,0.4742857142857143
Briar,Nasus,409,202,0.4938875305623472
Briar,LeeSin,377,218,0.5782493368700266
Briar,Xerath,407,228,0.5601965601965602
Briar,Xayah,308,170,0.551948051948052
Briar,Rell,202,112,0.5544554455445545
Nasus,Swain,421,198,0.47030878859857483
LeeSin,Swain,414,192,0.463768115942029
Swain,Xerath,458,225,0.4912663755458515
Swain,Xayah,337,174,0.516320474777448
Rell,Swain,223,97,0.4349775784753363
Kaisa,Nasus,560,256,0.45714285714285713
Kaisa,LeeSin,649,331,0.5100154083204931
Kaisa,Xerath,662,322,0.486404833836858
Kaisa,Xayah,660,306,0.4636363636363636
Kaisa,Rell,299,139,0.46488294314381273
Janna,Nasus,179,86,0.48044692737430167
Janna,LeeSin,219,115,0.5251141552511416
Janna,Xerath,224,108,0.48214285714285715
Janna,Xayah,199,115,0.5778894472361809
Janna,Rell,142,55,0.3873239436619718
Aatrox,Yorick,326,162,0.49693251533742333
Nocturne,Yorick,268,153,0.5708955223880597
Malzahar,Yorick,363,187,0.5151515151515151
Aphelios,Yorick,218,102,0.46788990825688076
Soraka,Yorick,314,156,0.4968152866242038
Aatrox,MasterYi,502,243,0.48406374501992033
MasterYi,Nocturne,398,207,0.5201005025125628
Malzahar,MasterYi,688,357,0.5188953488372093
Aphelios,MasterYi,384,184,0.4791666666666667
MasterYi,Soraka,438,220,0.502283105022831
Aatrox,Ahri,607,292,0.48105436573311366
Ahri,Nocturne,494,247,0.5
Ahri,Malzahar,838,408,0.48687350835322196
Ahri,Aphelios,518,259,0.5
Ahri,Soraka,595,300,0.5042016806722689
Aatrox,Yunara,441,237,0.5374149659863946
Nocturne,Yunara,322,166,0.515527950310559
Malzahar,Yunara,590,310,0.5254237288135594
Aphelios,Yunara,425,242,0.5694117647058824
Soraka,Yunara,398,218,0.5477386934673367
Aatrox,Nami,597,283,0.474036850921273
Nami,Nocturne,443,222,0.5011286681715575
Malzahar,Nami,734,395,0.5381471389645777
Aphelios,Nami,454,217,0.4779735682819383
Nami,Soraka,563,273,0.4849023090586146
Diana,Irelia,433,214,0.4942263279445728
Aatrox,Irelia,379,192,0.5065963060686016
Irelia,Kayle,322,156,0.484472049689441
Irelia,Twitch,335,175,0.5223880597014925
