ChampionA,ChampionB,Games,Wins,WinRate
Briar,Janna,196,106,0.5408163265306123
Briar,Kaisa,718,391,0.5445682451253482
Briar,Swain,462,239,0.5173160173160173
Briar,Trundle,213,110,0.5164319248826291
Janna,Kaisa,376,164,0.43617021276595747
Janna,Swain,168,92,0.5476190476190477
Janna,Trundle,174,89,0.5114942528735632
Kaisa,Swain,667,333,0.4992503748125937
Kaisa,Trundle,546,270,0.4945054945054945
Swain,Trundle,379,199,0.525065963060686
LeeSin,Nasus,245,118,0.4816326530612245
LeeSin,Rell,153,83,0.5424836601307189
LeeSin,Xayah,263,124,0.4714828897338403
LeeSin,Xerath,353,166,0.4702549575070821
Nasus,Rell,135,70,0.5185185185185185
Nasus,Xayah,240,121,0.5041666666666667
Nasus,Xerath,323,167,0.5170278637770898
Rell,Xayah,133,79,0.5939849624060151
Rell,Xerath,113,55,0.48672566371681414
Xayah,Xerath,286,163,0.5699300699300699
Ahri,MasterYi,755,384,0.5086092715231788
Ahri,Nami,805,430,0.5341614906832298
Ahri,Yorick,479,237,0.49478079331941544
Ahri,Yunara,658,308,0.46808510638297873
MasterYi,Nami,634,323,0.5094637223974764
MasterYi,Yorick,416,232,0.5576923076923077
MasterYi,Yunara,553,268,0.484629294755877
Nami,Yorick,406,232,0.5714285714285714
Nami,Yunara,593,296,0.4991568296795953
Yorick,Yunara,303,171,0.5643564356435643
Aatrox,Aphelios,360,170,0.4722222222222222
Aatrox,Malzahar,513,257,0.5009746588693957
Aatrox,Nocturne,286,148,0.5174825174825175
Aatrox,Soraka,386,187,0.4844559585492228
Aphelios,Malzahar,332,172,0.5180722891566265
Aphelios,Nocturne,214,115,0.5373831775700935
Aphelios,Soraka,384,195,0.5078125
Malzahar,Nocturne,396,209,0.5277777777777778
Malzahar,Soraka,458,244,0.5327510917030568
Nocturne,Soraka,228,118,0.5175438596491229
Aphelios,Irelia,242,105,0.43388429752066116
Aphelios,Lulu,346,166,0.4797687861271676
Aphelios,Rammus,145,84,0.5793103448275863
Aphelios,Vladimir,240,107,0.44583333333333336
Irelia,Lulu,278,127,0.4568345323741007
Irelia,Rammus,126,62,0.49206349206349204
Irelia,Vladimir,167,73,0.437125748502994
Lulu,Rammus,167,64,0.38323353293413176
Lulu,Vladimir,297,144,0.48484848484848486
Rammus,Vladimir,146,70,0.4794520547945205
Aatrox,Diana,500,247,0.494
Aatrox,Katarina,381,185,0.48556430446194226
Aatrox,Kayle,224,121,0.5401785714285714
Aatrox,Twitch,418,201,0.48086124401913877
Diana,Katarina,255,141,0.5529411764705883
Diana,Kayle,426,232,0.5446009389671361
Diana,Twitch,473,251,0.5306553911205074
Katarina,Kayle,245,118,0.4816326530612245
Katarina,Twitch,360,180,0.5
Kayle,Twitch,378,192,0.5079365079365079
Corki,Hwei,127,58,0.4566929133858268
Corki,MonkeyKing,127,59,0.4645669291338583
Corki,Sett,193,100,0.5181347150259067
Corki,Sivir,81,36,0.4444444444444444
Hwei,MonkeyKing,236,118,0.5
Hwei,Sett,421,242,0.5748218527315915
Hwei,Sivir,307,149,0.48534201954397393
MonkeyKing,Sett,299,151,0.5050167224080268
MonkeyKing,Sivir,257,143,0.556420233463035
Sett,Sivir,462,244,0.5281385281385281
Bard,Graves,232,109,0.4698275862068966
Bard,Heimerdinger,169,87,0.514792899408284
Bard,Ornn,185,91,0.4918918918918919
Bard,Samira,162,77,0.47530864197530864
Graves,Heimerdinger,205,102,0.4975609756097561
Graves,Ornn,211,100,0.47393364928909953
